Tourney,Reg_Season,Rankings,Coaches
Stephen F. Austin,Northeastern,Northeastern,Canisius
Notre Dame,Canisius,Canisius,Northeastern
Manhattan,Norfolk State,Elon,Elon
Evansville,Rhode Island,Duke,Duke
Delaware,Hofstra,William & Mary,Austin Peay
Middle Tennessee State,Northwestern State,Austin Peay,William & Mary
James Madison,Colgate,Morgan State,Morgan State
Wright State,Duke,Louisville,Louisville
Connecticut,Texas-San Antonio,Army,UMass
Mercer,Austin Peay,Loyola (MD),Army
Texas-San Antonio,Long Island University,Michigan State,UTSA
Jacksonville State,Morgan State,Vermont,Loyola (MD)
Central Michigan,Indiana State,Akron,Michigan State
Arkansas-Pine Bluff,Kent State,Mississippi Valley State,UIC
South Florida,Louisville,Citadel,Vermont
Marshall,Tennessee,Cal State Bakersfield,UConn
Arkansas State,North Carolina Central,Cleveland State,Akron
Valparaiso,Arkansas,Sacred Heart,Mississippi Valley State
Florida State,Monmouth,Missouri,Citadel
Virginia Tech,DePaul,North Carolina-Greensboro,Cal State Bakersfield
Lafayette,Southern Illinois,Rice,Cleveland State
North Carolina State,Cal State Long Beach,North Florida,Sacred Heart
American,Louisiana-Monroe,Eastern Kentucky,Missouri
Northern Illinois,Morehead State,Southeastern Louisiana,Rice
Vanderbilt,Providence,Denver,North Florida
Wagner,Cal State Northridge,Missouri State,Eastern Kentucky
Marquette,Binghamton,Utah State,UCF
Tennessee,Gonzaga,North Carolina,Southeastern Louisiana
Florida A&M,Southern Mississippi,Mississippi State,UNC Greensboro
Delaware State,New Orleans,St. Francis (NY),Denver
Kentucky,Loyola (MD),South Florida,Missouri State
Murray St.,Clemson,Houston,Utah State
Portland,Navy,Purdue-Fort Wayne,St. Francis (NY)
St. Louis,Temple,Northern Iowa,Mississippi State
Air Force,St. John's (NY),Iona,South Florida
Gardner-Webb,Eastern Michigan,Toledo,UNC Wilmington
George Mason,Michigan State,Campbell,Houston
Southern California,Vermont,Hampton,Purdue-Fort Wayne
Kansas State,Green Bay,California Baptist,Northern Iowa
Nebraska,West Virginia,Creighton,Iona
Dayton,Middle Tennessee,Memphis,Toledo
Purdue,Appalachian State,San Jose State,Campbell
Baylor,Louisiana State,Saint Peter's,Hampton
Monmouth,Princeton,Florida International,California Baptist
Pittsburgh,Akron,Nicholls State,USC
Eastern Kentucky,Albany (NY),Pepperdine,Creighton
Chattanooga,Mississippi Valley State,Texas A&M,Memphis
Montana,Texas A&M-Corpus Christi,Tennessee-Martin,San Jose State
St. Bonaventure,Marquette,Texas Tech,Ole Miss
Alcorn State,Cal State Bakersfield,Chicago State,Florida International
Canisius,East Tennessee State,Saint Mary's (CA),Nicholls State
Cincinnati,Air Force,Northern Illinois,Pepperdine
Southern,Arizona State,St. Bonaventure,UMass-Lowell
Mississippi Valley State,Abilene Christian,Mount St. Mary's,Texas A&M
TCU,Cleveland State,Delaware,Texas Tech
Montana State,College of Charleston,Stephen F. Austin,Winston-Salem
Seton Hall,Massachusetts,Iowa State,Chicago State
Minnesota,Richmond,Kennesaw State,Northern Illinois
Kent State,North Carolina-Greensboro,San Diego,St. Bonaventure
Bradley,Drake,Indiana,Mount St. Mary's
Louisiana-Lafayette,Florida A&M,American,Delaware
North Florida,Western Carolina,Syracuse,Stephen F. Austin
Liberty,Missouri,Washington State,Iowa State
UTEP,Wagner,Michigan,Kennesaw State
Illinois,Wisconsin,Eastern Washington,San Diego
Cal-Poly,Nebraska,Wichita State,Indiana
Hawaii,Oregon State,Loyola (IL),American
Penn,Portland State,South Dakota State,Syracuse
Florida Atlantic,North Florida,Bucknell,Washington State
Arkansas,Davidson,Grambling,Michigan
Ohio,Pacific,Niagara,Eastern Washington
Northern Arizona,Eastern Kentucky,Marist,Wichita State
Southeast Missouri State,Southeastern Louisiana,Texas,Loyola (IL)
Eastern Michigan,Washington,Tennessee State,South Dakota State
Loyola (Md.),Brigham Young,Auburn,Bucknell
Virginia Commonwealth,James Madison,Yale,Grambling
Houston,Missouri State,Houston Baptist,Niagara
Xavier,University of California,Siena,Marist
Santa Clara,Ball State,Gardner-Webb,Texas
La Salle,Utah State,La Salle,Tennessee State
Norfolk State,Valparaiso,Tennessee Tech,Auburn
California,North Carolina,Nevada,Yale
Charlotte,Arkansas State,Winthrop,Houston Baptist
Buffalo,Arkansas-Pine Bluff,Fordham,Siena
Niagara,Mississippi State,Boston University,Gardner-Webb
Northwestern State,Pittsburgh,Loyola Marymount,La Salle
Akron,South Florida,Hofstra,Tennessee Tech
Southern Utah,Northern Arizona,Morehead State,Nevada
East Carolina,Houston,DePaul,Winthrop
San Diego State,Charlotte,Cal State Long Beach,Fordham
Oral Roberts,Dayton,Idaho,Boston University
Albany (N.Y.),Florida Gulf Coast,Southern Mississippi,Loyola Marymount
Long Island,Illinois State,Columbia,Hofstra
Winthrop,Liberty,Louisiana Tech,BYU
South Carolina State,Georgetown,Navy,SIU-Edwardsville
Southern Illinois,Miami (FL),Eastern Michigan,Morehead State
Arkansas-Little Rock,Villanova,Green Bay,DePaul
West Virginia,Arizona,West Virginia,Idaho
New Mexico,Louisiana,Albany (NY),Southern Miss
Jackson State,North Carolina A&T,Texas A&M-Corpus Christi,Columbia
Georgetown,Georgia Tech,Idaho State,Louisiana Tech
Missouri,Lipscomb,Duquesne,Navy
Mount St. Mary's,Southern Methodist,East Tennessee State,Eastern Michigan
South Alabama,Notre Dame,Air Force,Green Bay
Detroit,Maryland-Baltimore County,Arizona State,UMKC
Navy,Northern Iowa,Abilene Christian,West Virginia
Creighton,Boston College,Richmond,Albany (NY)
Richmond,Iona,Western Carolina,Texas A&M-Corpus Christi
North Texas,Minnesota,Brown,Idaho State
Northern Colorado,North Carolina-Wilmington,Arkansas State,Duquesne
Drexel,Oral Roberts,Pittsburgh,Air Force
St. Peter's,Fairfield,Texas-Rio Grande Valley,Arizona State
UNC Wilmington,Hampton,Illinois State,Abilene Christian
Old Dominion,Marshall,Liberty,Richmond
Cal State Northridge,Coppin State,Arizona,Western Carolina
Utah,Mercer,Villanova,Brown
Alabama A&M,Charleston Southern,Southern Methodist,Arkansas State
